Part,Width (Inches),Height (Inches),Depth (Inches),Weight (Pounds),LTL Threshold
50853,10.75,14.88,3.75,1.35,
50854,7.5,4.75,5,1.5,
50869,4.75,26.88,10,3.69,
50876,13.13,9.13,6.13,1.51,
50910,5.38,15.5,4.13,1.03,
50913,4.5,26.88,10.13,4.01,
50917,11.5,2.38,15.5,0.97,
50950,5.5,10.13,4.63,1.55,
50951,10.13,10.88,4.63,2.43,
50952,10.13,16.25,4.63,3.46,
50953,10.13,21.75,4.63,4.36,
50973,15,16.88,3.25,3.58,
50974,11.5,2.38,15.38,0.89,
50975,11.63,2.38,15.5,0.89,
50981,9.25,7.5,1,0.46,
50994,5.25,9.63,2.63,0.52,
50995,5.13,5.88,5.13,0.7,
50996,5.25,9.63,4,0.61,
50997,5.25,9.63,5.38,0.78,
51042,9,5.88,6.13,1.47,
51043,9.13,9.13,6.25,1.47,
51050,10.75,5.5,3.75,0.55,
51051,10.75,10.13,3.75,0.95,
51052,10.75,14.88,3.75,1.35,
51053,10.75,5.5,3.75,0.55,
51054,10.75,10.13,3.75,0.95,
51055,10.75,14.88,3.75,1.35,
51102,10.88,6.5,4.25,0.99,
51140,5.25,9.63,5.38,0.72,
51141,11.25,5,3.75,0.49,
51144,11.25,9.75,3.75,0.93,
51145,11.25,14.5,3.75,1.38,
51189,9.63,5.13,3.75,0.48,
51211,9.63,5.13,3.75,0.48,
51213,9.63,5.13,3.75,0.56,
51234,9.63,5.13,3.75,0.56,
51236,5.25,9.63,5.38,0.72,
51281,10.88,6.5,4.25,1.06,
51283,10.63,6.5,4.25,1.63,
51304,8.13,11,3.75,1.8,
51305,15,18,6,6.5,
51308,8.13,11,3.75,1.8,
51309,15,18,6,6.5,
51312,8.13,11,3.75,1.8,
51313,15,18,6,6.5,
51316,8.13,11,3.75,1.8,
51317,15,18,6,6.5,
51318,8.13,11,3.75,1.8,
51320,8.13,11,3.75,1.8,
51323,15,18,6,6.5,
51353,10.88,6.5,4.25,1.15,
51409,15,15.75,16.5,40,
51744,24,12,10.13,4.88,
51829,24,21.63,7.38,4.48,
51874,11.63,15.25,4.63,2.15,
51888,12,15.88,10.25,3.6,
51889,24,12,10.13,6.83,
51911,10.88,6.5,4.25,1.19,
51912,10.88,6.5,4.25,0.99,
51913,10.88,6.5,4.38,1,
51917,10.88,6.5,4.25,0.99,
51935,11.13,6.5,4.38,2.17,
51937,9.88,6.5,3.88,0.83,
51972,9.88,6.5,3.88,0.86,
51981,11.5,3,15.5,1.16,
51997,11.5,3,15.38,1.16,
52911,10.88,6.5,4.25,1.16,
52913,11.25,6.75,4.63,1.02,
52914,11.25,6.63,4.63,0.96,
52916,11.25,6.75,4.63,0.96,
52947,9.88,6.5,3.88,1.04,
53041,5,5.13,3.5,0.25,
53045,5,5.13,3.5,0.25,
53062,25,3.63,16.25,5.7,
53075,24,12,10.13,4.67,
53120,30.13,15.88,10,8.61,
53408,40,16.13,14,7.55,
53412,6.5,1.25,1.13,1,
53420,15,9.88,1,9,
53440,21,20.75,15,3.5,
50205,22,40,23,35,
50252,22,40,23,45,4
50591,33,40,48,55,1
50592,48,52,55,205,1
50593,96,48,55,325,1
50729,16,42,23,45,5
50741,37,26,18,65,3
51002,40,48,53,55,1
51032,21,32,18,55,4
51033,20,51,22,85,1
51041,31,31,21,85,1
51046,40,48,51,125,1
51071,40,48,51,125,1
51072,40,48,51,125,1
51073,40,48,51,125,1
51074,40,48,51,125,1
51075,40,48,51,125,1
51076,40,48,51,125,1
51077,40,48,51,125,1
51078,40,48,51,125,1
51079,40,48,51,125,1
51080,21,32,18,55,4
51081,21,32,18,55,4
51082,21,32,18,55,4
51083,21,32,18,55,4
51084,21,32,18,55,4
51085,21,32,18,55,4
51086,21,32,18,55,4
51087,21,32,18,55,4
51088,21,32,18,55,4
51089,20,51,22,85,1
51090,20,51,22,85,1
51091,20,51,22,85,1
51092,20,51,22,85,1
51093,20,51,22,85,1
51094,20,51,22,85,1
51095,20,51,22,85,1
51096,20,51,22,85,1
51097,20,51,22,85,1
51131,31,31,21,85,1
51132,31,31,21,85,1
51133,31,31,21,85,1
51134,31,31,21,85,
51135,31,31,21,85,1
51136,31,31,21,85,1
51137,31,31,21,85,1
51138,31,31,21,85,1
51139,31,31,21,85,1
51146,21,32,18,55,4
51147,21,32,18,55,4
51354,20,51,22,85,1
51355,20,51,22,85,1
51356,20,51,22,85,1
51357,40,48,51,125,1
51358,40,48,51,125,1
51359,40,48,51,125,1
51361,31,31,21,85,1
51362,31,31,21,85,
51363,31,31,21,85,1
51421,40,30,23,85,1
51463,45,40,48,85,1
51464,40,48,55,125,1
51472,16,36,27,23,5
51474,16,36,27,23,5
51498,23,26,40,71,1
51502,40,48,52,85,1
51504,45,40,48,85,1
51536,55,40,48,100,1
51609,23,26,40,71,1
51610,18,32,21,60,4
51697,21,32,18,55,4
